song,times_played_last_year,last_time_played,average_gap_days,median_gap_days
Puppet String,19,2025-04-27,17.556,9.0
All In Time,18,2025-04-27,18.706,8.0
Nothing Too Fancy,16,2025-04-20,20.267,14.0
Small Strides,15,2025-04-18,22.071,14.5
The Floor,14,2025-04-19,23.846,18.0
Wappy Sprayberry,13,2025-04-18,25.667,21.5
Mantis,13,2025-04-18,25.167,18.5
Miss Tinkle's Overture,13,2025-04-20,25.917,18.0
The Triple Wide,13,2025-04-25,26.167,18.5
Staircase,12,2025-04-27,28.727,27.0
Slacker,12,2025-04-27,28.727,23.0
Ringo,12,2025-04-25,28.545,20.0
Glory,11,2025-04-27,30.8,18.0
Attachments,11,2025-04-25,30.7,27.5
Utopian Fir,10,2025-03-12,30.111,0.0
Believe the Lie,10,2025-04-26,34.444,21.0
Day Nurse,9,2025-04-19,38.625,21.0
Fenced In,9,2025-04-27,37.0,26.0
Phil's Farm,9,2025-04-05,36.875,24.0
Hiccup,9,2025-04-27,39.5,30.5
Concessions,9,2025-04-19,38.5,29.0
Divisions,8,2025-04-20,41.143,35.0
2nd Self,8,2025-04-25,44.0,28.0
Higgins,8,2025-04-18,43.143,26.0
Der Bluten Kat,8,2025-04-25,40.286,41.0
Den,8,2025-04-25,44.857,41.0
Wizard Burial Ground,8,2025-03-22,39.0,13.0
Bad Friday,8,2025-04-18,42.857,38.0
Mulche's Odyssey,8,2025-04-27,44.286,32.0
Preamble,7,2025-04-04,48.0,32.5
I Don't Know What I Want,7,2025-04-20,46.167,38.0
Remind Me,7,2025-04-26,49.167,38.5
New Wings,7,2025-04-27,47.0,40.5
Pay the Snucka,7,2025-04-25,52.5,41.5
Ocean Billy,7,2025-04-26,51.5,46.5
Cut the Cable,7,2025-03-19,46.167,29.0
Out of Focus,7,2025-03-21,33.833,25.0
Domino Theory,6,2025-04-25,63.0,36.0
Looks,6,2025-03-22,55.0,43.0
Dump City,6,2025-04-27,63.2,46.0
It Doesn't Matter,6,2025-03-14,50.4,36.0
Speak Up,6,2025-04-19,60.4,49.0
Maybe Someday,6,2025-04-04,54.4,54.0
Out Of Order,6,2025-03-13,53.2,43.0
Crucial Taunt,6,2025-04-19,61.6,41.0
Resolution,6,2025-03-20,51.6,34.0
Wide Open,6,2025-04-25,27.2,32.0
August,6,2025-04-19,61.8,51.0
2x2,6,2025-04-20,58.0,50.0
Seasons,5,2025-03-21,65.0,54.0
Similar Skin,5,2025-03-05,64.5,61.0
The Fussy Dutchman,5,2025-03-06,60.75,51.0
Much Obliged,5,2025-03-22,62.0,45.5
Make It Right,5,2025-03-21,64.25,30.0
Syncopated Strangers,5,2025-04-25,73.75,46.5
Draconian,5,2025-03-20,68.25,42.0
Uncle Wally,5,2025-03-12,62.0,48.0
Hourglass,5,2025-04-05,68.25,31.0
Always October,5,2025-04-26,61.75,49.5
The Crooked One,5,2025-03-21,65.0,53.5
Intentions Clear,5,2025-04-19,58.25,49.5
Push the Pig,5,2025-01-25,54.75,60.5
You Got the Wrong Guy,5,2025-03-20,69.5,62.5
Partyin' Peeps,4,2025-03-08,78.0,38.0
Red Tape,4,2025-03-13,90.667,72.0
Miami Virtue,4,2025-02-26,83.333,57.0
Red,4,2025-03-09,44.667,66.0
The Bottom Half,4,2025-03-08,82.0,57.0
Mad Love,4,2025-04-19,100.667,77.0
Half Delayed,4,2025-03-07,58.333,44.0
White Man's Moccasins,4,2025-03-14,84.0,56.0
Suxity,4,2025-04-25,98.0,65.0
Kabump,4,2025-03-06,80.667,49.0
Life During Exodus,4,2025-03-21,93.667,92.0
Piranhas,4,2025-04-26,81.333,52.0
The Pequod,4,2025-03-12,90.333,79.0
Live and Let Die,3,2025-04-20,143.5,143.5
Wellwishers,3,2025-04-25,27.5,27.5
Kula,3,2025-03-06,121.5,121.5
In The Black,3,2025-03-19,26.5,26.5
Triangle Tear,3,2025-03-15,21.5,21.5
Water,3,2025-04-18,114.5,114.5
13 Days,3,2025-03-08,95.5,95.5
Made to Measure,3,2025-03-21,102.5,102.5
Message in a Bottle,3,2025-04-25,122.5,122.5
Sociable Jimmy,3,2025-03-20,100.0,100.0
Hangover,3,2025-01-25,73.0,73.0
Little Gift,3,2025-04-26,49.0,49.0
Loose Ends,3,2025-04-18,144.0,144.0
Soul Food II,3,2025-04-05,112.5,112.5
Comma Later,3,2025-04-19,45.5,45.5
Front Porch,3,2025-04-19,115.0,115.0
The Haunt,3,2025-04-26,146.5,146.5
Prowler,3,2025-04-20,22.0,22.0
Professor Wormbog,3,2025-04-26,119.0,119.0
Come As Your Kids,3,2025-03-15,132.5,132.5
Turn & Run,3,2025-03-21,104.0,104.0
Drums,3,2025-04-19,154.0,154.0
No Diablo,3,2025-04-05,148.0,148.0
Roctopus,3,2025-03-05,114.0,114.0
It's Not Your Fault,3,2025-03-15,99.5,99.5
End of the Road,3,2025-03-20,103.5,103.5
Example 1,3,2025-03-12,132.5,132.5
Nemo,3,2025-02-26,19.0,19.0
Roulette,3,2025-04-19,116.0,116.0
Alex's House,2,2024-12-12,161.0,161.0
Baba O'Riley,2,2025-01-16,209.0,209.0
Spires,2,2025-04-26,57.0,57.0
Whiskey River,2,2025-04-27,23.0,23.0
Work Sauce,2,2024-08-25,72.0,72.0
Africa,2,2025-04-25,224.0,224.0
Bathing Digits,2,2025-03-13,238.0,238.0
Kimble,2,2025-01-22,216.0,216.0
Leave Me Las Vegas,2,2025-04-26,182.0,182.0
Passing,2,2024-12-29,165.0,165.0
Mullet (Over),2,2025-04-05,288.0,288.0
Whitehouse Road,2,2025-03-12,192.0,192.0
Soul Food I,2,2025-04-19,239.0,239.0
Rock the Casbah,2,2025-04-19,91.0,91.0
Where Is My Mind?,2,2025-04-20,91.0,91.0
Rocker Part 2,2,2025-03-13,53.0,53.0
No Excuses,2,2025-03-15,274.0,274.0
Staircase-,2,2025-03-22,211.0,211.0
Visions,2,2025-04-05,97.0,97.0
Get In The Van,2,2025-04-19,240.0,240.0
Great American,2,2025-01-19,199.0,199.0
Catshot,2,2025-02-27,187.0,187.0
Go to Hell,2,2025-03-15,44.0,44.0
Them Changes,2,2025-04-04,94.0,94.0
Upward,2,2025-03-13,56.0,56.0
Girlfriend is Better,2,2025-03-05,195.0,195.0
Up on Cripple Creek,2,2025-04-04,72.0,72.0
Escape Goat-,2,2025-04-20,87.0,87.0
Forks,2,2025-03-05,32.0,32.0
Cheap Sunglasses,2,2025-03-20,243.0,243.0
The Fuzz,2,2025-04-26,92.0,92.0
Weird Fishes/Arpeggi,2,2025-04-20,78.0,78.0
Fame,2,2025-01-22,200.0,200.0
Turn & Dub,2,2025-02-26,223.0,223.0
Thin Air,2,2025-01-30,223.0,223.0
Gurgle,2,2025-02-28,253.0,253.0
Eat,2,2025-03-14,55.0,55.0
Hindsight,2,2025-03-15,51.0,51.0
Corduroy,2,2025-02-27,187.0,187.0
The Linear-,2,2025-02-01,199.0,199.0
Sultans of Swing,2,2025-03-19,206.0,206.0
I Ran,2,2025-02-26,250.0,250.0
I Know a Little,2,2025-04-26,22.0,22.0
Cult of Personality,2,2025-04-26,238.0,238.0
Come Closer,2,2025-03-22,247.0,247.0
Daffodils,2,2025-03-19,53.0,53.0
Hiccup-,2,2025-01-16,194.0,194.0
Blue Echo,2,2024-12-31,0.0,0.0
Hey Nineteen,2,2025-03-05,171.0,171.0
Sweetness,2,2025-04-20,130.0,130.0
Exit Signs,2,2025-01-24,43.0,43.0
Robot World,1,2025-01-24,,
Words,1,2025-01-31,,
The Triple Wide-,1,2024-08-23,,
The Weight Around,1,2025-01-18,,
Spires-,1,2025-01-18,,
There's No Crying In Mexico,1,2024-08-23,,
Ride On Pony,1,2025-03-07,,
Thunderstruck-,1,2025-02-27,,
Restrung,1,2025-01-22,,
To Lay Me Down,1,2024-12-29,,
Tribute to the Spinal Shaft,1,2025-01-23,,
Rock and Roll Part 2,1,2025-03-08,,
Unevolved,1,2024-12-10,,
The National Anthem,1,2025-01-17,,
That's All,1,2025-03-01,,
Stanton,1,2024-08-22,,
Speak Up-,1,2025-03-15,,
Space Funk Booty,1,2025-03-08,,
Space,1,2025-04-05,,
Waiting Room,1,2024-08-30,,
Susanah,1,2024-12-29,,
Voyager,1,2024-12-31,,
Synchronicity II,1,2024-12-28,,
Smell the Mitten,1,2025-01-24,,
The Load-Out,1,2025-02-27,,
Slipknot!,1,2025-03-21,,
When the World Is Running Down You Make the Best of What's Still Around,1,2025-04-05,,
Señor Mouse,1,2025-02-02,,
The Fuzz-,1,2025-03-05,,
Room to Breathe,1,2025-03-06,,
The Good Times Are Killing Me,1,2025-01-23,,
The Heat Is On,1,2024-12-31,,
Uncommon-,1,2025-01-30,,
That's the Way,1,2025-01-19,,
#5,1,2024-12-12,,
Reelin' in the Years,1,2025-03-14,,
Deep Ocean,1,2025-04-05,,
Call to Arms,1,2025-04-04,,
Canned Heat,1,2024-12-31,,
Cemetery Walk-,1,2024-06-14,,
Comfortably Numb,1,2024-07-20,,
Controversy-,1,2024-10-26,,
Cut Off,1,2025-01-17,,
Day Nurse-,1,2024-08-25,,
Dear Lord,1,2024-07-06,,
Deeper,1,2025-01-17,,
"Bright Lights, Big City",1,2024-12-31,,
Dig A Pony,1,2024-07-17,,
Dim Sun,1,2024-07-17,,
"Don't Think Twice, It's All Right",1,2025-04-04,,
Don't You (Forget About Me),1,2025-03-07,,
Dreams/Nightmares,1,2025-04-05,,
Drink My Drank,1,2025-02-01,,
Driven to Tears,1,2025-01-16,,
Dump City-,1,2025-02-27,,
Bullhead City,1,2025-04-04,,
Bridgeless-,1,2025-03-14,,
Elements of Nature,1,2025-04-05,,
Auld Lang Syne,1,2024-12-31,,
1999,1,2025-01-30,,
9 to 5,1,2025-04-04,,
All In Time-,1,2025-01-22,,
All Things Ninja,1,2025-01-22,,
Althea,1,2024-08-30,,
Angel From Motgomery,1,2025-04-04,,
Another Brick in the Wall,1,2025-04-19,,
Atmosfarag,1,2025-04-26,,
Australian Lullaby,1,2024-08-28,,
Breathe,1,2025-03-07,,
Bad Poker,1,2025-01-25,,
Bennie and the Jets,1,2024-08-28,,
Big Heart,1,2024-07-07,,
Bitter Sweet Symphony,1,2025-01-24,,
Bittersweet Haj,1,2025-04-20,,
Black Water,1,2025-01-25,,
Blue Echo-,1,2024-07-17,,
Brain Damage,1,2025-03-14,,
Eclipse,1,2025-03-14,,
FF,1,2025-01-23,,
Prowler-,1,2025-01-19,,
Morning Song,1,2025-01-30,,
Lenny,1,2025-04-04,,
Liberty Echo,1,2025-03-19,,
Magic,1,2025-04-05,,
Mammas Don't Let Your Babies Grow Up to Be Cowboys,1,2025-04-04,,
Mantis Ghetts,1,2025-04-04,,
Me and My Uncle,1,2025-04-04,,
Meeting in the Aisle,1,2024-08-25,,
Miss You,1,2024-07-19,,
Nemo-,1,2025-01-19,,
Layla,1,2025-03-08,,
Never Cease,1,2025-02-01,,
No Comment,1,2025-02-27,,
No Comment-,1,2025-01-23,,
Nopener,1,2025-04-05,,
Orfeo,1,2025-02-02,,
Panama,1,2025-02-02,,
Plunger-,1,2024-06-23,,
Power of Soul,1,2024-07-06,,
Le Blitz,1,2025-03-05,,
Last Man Swerving-,1,2024-12-30,,
Final Word,1,2025-03-06,,
Help On the Way,1,2025-03-21,,
Flying,1,2025-03-20,,
Frankie Zombie,1,2025-01-31,,
Fu-Gee-La,1,2024-06-22,,
Golden Years,1,2024-06-15,,
Goonville,1,2024-08-29,,
Gulf Stream,1,2025-04-18,,
Hangover-,1,2025-01-25,,
Heart and Soul,1,2024-07-04,,
Honky Cat,1,2024-12-31,,
Kielbasa,1,2025-04-27,,
House of Better Glass,1,2024-10-26,,
I Want You (She's So Heavy),1,2024-06-20,,
In Bloom,1,2025-03-06,,
In the Flesh?,1,2025-04-19,,
Jekyll & Hyde,1,2025-04-05,,
Jessica,1,2025-01-31,,
"Jesus, Etc.",1,2025-03-08,,
Kaw-Liga,1,2025-04-04,,
Young Lust-,1,2024-07-05,,
